Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-02-18,Suvarnabhumi,Train,-0.0627623451787782,-0.9749279121818236,0.3380988441345546,0.011691177967965049,0.4707769020001365,0.3555533400973186,0.08957119206813124,0.0
2023-02-19,Suvarnabhumi,Train,-0.023251179945231414,-0.7818314824680299,-0.0032598256121371123,0.13042862543121403,0.44104206836414067,0.34799908873447755,0.22621967597611373,0.0
2023-02-20,Suvarnabhumi,Train,0.6826544834541146,0.0,0.49058393518891436,0.4709965068376275,0.4228191581670809,0.32860786082671245,0.47245116208111776,1.0
2023-02-21,Suvarnabhumi,Train,0.4940599524939893,0.7818314824680298,0.3412178573606665,0.3490499391726691,0.433608359955142,0.36179898098785657,0.8151005541584654,1.0
2023-02-22,Suvarnabhumi,Train,0.33438596515841884,0.9749279121818236,0.5075652294199681,0.281658414936771,0.4420229048903282,0.3855324163719009,0.8721474495161249,1.0
2023-02-23,Suvarnabhumi,Train,0.6431433182205679,0.43388373911755823,0.4957822905657675,0.4268711040641228,0.45079881065095184,0.3959418178561308,0.8428531685451066,1.0
2023-02-24,Suvarnabhumi,Train,0.6015954949852919,-0.433883739117558,1.0540856580397984,0.7963210672859211,0.5069646075189448,0.4299062078418186,1.0228709861510752,1.0
2023-02-25,Suvarnabhumi,Train,0.19100524183668205,-0.9749279121818236,0.13848199766339275,-0.039253605234172186,0.4481144159477025,0.4030202108654072,0.7029884716405811,0.0
2023-02-26,Suvarnabhumi,Train,0.03784856010664505,-0.7818314824680299,-0.12559445548074846,-0.0003430227884453215,0.45843901096020073,0.44007768014926585,0.141810138621412,0.0
2023-02-27,Suvarnabhumi,Train,0.7201289906859323,0.0,0.5630143534397352,0.6948326409068604,0.47552621570588643,0.44900002427860625,-0.04694687710193992,1.0
2023-02-28,Suvarnabhumi,Train,0.44599482365317983,0.7818314824680298,0.3977066524558043,0.509104809232927,0.46690517887044997,0.4544723953446013,0.030567937145864223,1.0
2023-03-01,Suvarnabhumi,Train,0.5547523609455199,0.9749279121818236,0.5664799236909707,0.3518579193491648,0.45337995940407644,0.44745348462952045,0.015502192284434791,1.0
