Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,temperature_max,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-04-26,Makkasan,Train,11985.0,-180.0,79.0,30.5,0,0.9749279121818236,-0.22252093395631434,10963.0,11685.0,9626.142857142857,2213.279800700883,10453.857142857143,2376.080556194128,1.0
2023-04-27,Makkasan,Train,12415.0,430.0,118.0,35.2,0,0.43388373911755823,-0.900968867902419,10587.0,11583.0,9651.714285714286,2232.2523538857863,10496.714285714286,2404.5228711940385,1.0
2023-04-28,Makkasan,Train,13513.0,1098.0,90.0,34.6,0,-0.433883739117558,-0.9009688679024191,10606.0,11999.0,9749.42857142857,2294.129962690507,10615.57142857143,2486.3392003199406,1.0
2023-04-29,Makkasan,Train,8361.0,-5152.0,93.0,35.3,1,-0.9749279121818236,-0.2225209339563146,6658.0,7416.0,9972.285714285714,2460.9157993374397,10831.857142857143,2684.6805165960536,0.0
2023-04-30,Makkasan,Train,7136.0,-1225.0,74.0,32.8,1,-0.7818314824680299,0.6234898018587334,6179.0,6594.0,10134.714285714286,2232.6382535978883,10966.857142857143,2501.8172347696486,0.0
2023-05-01,Makkasan,Train,7835.0,699.0,83.0,35.0,1,0.0,1.0,10965.0,11735.0,10177.142857142857,2146.0799479183434,11044.285714285714,2347.557504747266,0.0
2023-05-02,Makkasan,Train,11964.0,4129.0,88.0,34.9,0,0.7818314824680298,0.6234898018587336,11425.0,12165.0,9643.285714285714,2370.5011927358246,10487.142857142857,2604.9865277048543,1.0
2023-05-03,Makkasan,Train,11866.714285714286,-97.28571428571377,73.0,34.7,0,0.9749279121818236,-0.22252093395631434,11142.0,11985.0,9600.285714285714,2335.263062575314,10458.42857142857,2584.436099496549,1.0
2023-05-04,Makkasan,Train,11769.42857142857,-97.28571428571558,69.0,35.1,1,0.43388373911755823,-0.900968867902419,11271.0,12415.0,9582.387755102041,2321.919680966409,10441.530612244898,2573.1533590015006,0.0
2023-05-05,Makkasan,Train,11672.142857142857,-97.28571428571377,100.0,36.4,1,-0.433883739117558,-0.9009688679024191,12166.0,13513.0,9530.73469387755,2281.76889614889,10349.30612244898,2501.1964911356285,0.0
2023-05-06,Makkasan,Train,11574.857142857143,-97.28571428571377,86.0,38.8,1,-0.9749279121818236,-0.2225209339563146,7795.0,8361.0,9335.897959183672,2067.4034352401627,10086.326530612245,2190.6138233897886,0.0
2023-05-07,Makkasan,Train,11477.57142857143,-97.28571428571377,86.0,38.2,1,-0.7818314824680299,0.6234898018587334,6476.0,7136.0,9750.163265306122,1996.4983980097877,10545.448979591836,2103.812068746282,0.0
2023-05-08,Makkasan,Train,11380.285714285714,-97.28571428571558,77.0,36.6,0,0.0,1.0,7228.0,7835.0,10337.530612244898,1383.3618267230909,11165.673469387755,1478.056850218592,1.0
2023-05-09,Makkasan,Train,11283.0,-97.28571428571377,78.0,34.5,0,0.7818314824680298,0.6234898018587336,11124.0,11964.0,10802.142857142857,231.7636316431534,11672.142857142857,210.1611626482759,1.0
2023-05-10,Makkasan,Train,11402.0,119.0,72.0,32.3,0,0.9749279121818236,-0.22252093395631434,11016.714285714286,11866.714285714286,10694.857142857143,231.76363164315677,11574.857142857143,210.16116264828088,1.0
